"Loggerprotocol: elproLOG MONITOR 3.63.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Logger id";"Logger name";"Pc time";"Logger time";"Logger state";"S1-Name";"S1-Value";"S1-Unit";"S1-Status";"S2-Name";"S2-Value";"S2-Unit";"S2-Status";"S3-Name";"S3-Value";"S3-Unit";"S3-Status";"S4-Name";"S4-Value";"S4-Unit";"S4-Status";"S5-Name";"S5-Value";"S5-Unit";"S5-Status";"S6-Name";"S6-Value";"S6-Unit";"S6-Status";"S7-Name";"S7-Value";"S7-Unit";"S7-Status";"S8-Name";"S8-Value";"S8-Unit";"S8-Status";"D1-Name";"D1-Value";"D1-Text value";"D1-Status";"D2-Name";"D2-Value";"D2-Text value";"D2-Status";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:00 PM";"1/29/2019 2:01 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:03 PM";"1/29/2019 2:04 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:06 PM";"1/29/2019 2:07 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:09 PM";"1/29/2019 2:10 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.4";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:12 PM";"1/29/2019 2:13 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"14.9";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:15 PM";"1/29/2019 2:16 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"15.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:18 PM";"1/29/2019 2:19 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"15.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:21 PM";"1/29/2019 2:22 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"15.4";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
"9924";"Rm 570 logger A";"1/29/2019 2:24 PM";"1/29/2019 2:25 PM";"0";"924.01.570.THM.0321";"NaN";"U.F.";"1";"924.02.570.AMB.ENV";"15.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";""
